企業名,日本ハム,,
証券ｺｰﾄﾞ,2282,,
表名称,連結貸借対照表,,



（百万円）,,,
2019/03/31現在,,,
連結貸借対照表,,,
（資産の部）,,,
流動資産,,,
現金及び現金同等物,,48108,
営業債権及びその他の債権,,153260,
棚卸資産,,113415,
生物資産,,25971,
その他の金融資産,,12041,
その他の流動資産,,5468,
流動資産合計,,358263,
非流動資産,,,
有形固定資産,,289898,
生物資産,,1877,
無形資産及びのれん,,7097,
持分法で会計処理されている投資,,14400,
その他の金融資産,,34125,
繰延税金資産,,28004,
その他の非流動資産,,7724,
非流動資産合計,,383125,
資産合計,,741388,
（負債及び資本の部）,,,
流動負債,,,
有利子負債,,62746,
営業債務及びその他の債務,,111573,
未払法人所得税,,2738,
その他の金融負債,,18123,
その他の流動負債,,38788,
流動負債合計,,233968,
非流動負債,,,
有利子負債,,84263,
退職給付に係る負債,,14118,
その他の金融負債,,1105,
繰延税金負債,,1326,
その他の非流動負債,,1250,
非流動負債合計,,102062,
負債合計,,336030,
資本,,,
資本金,,36294,
資本剰余金,,72672,
利益剰余金,,286934,
自己株式,,-202,
その他の包括利益累計額,,5316,
親会社の所有者に帰属する持分,,401014,
非支配持分,,4344,
資本合計,,405358,
負債及び資本合計,,741388,
