企業名,日本ハム,
証券ｺｰﾄﾞ,2282,
表名称,連結キャッシュ・フロー計算書,



(百万円),,
2010/04/01-2011/03/31,,

営業活動によるキャッシュ・フロー：,,
当期純利益,,16925
調整項目：,,
減価償却費,,24643
固定資産減損損失,,1422
繰延税金,,-68
為替換算差額,,-1325
受取手形及び売掛金の(－増)減,,-4230
棚卸資産の(－増)減,,-7529
その他の流動資産の(－増)減,,-1247
支払手形及び買掛金の増(－減),,6465
未払法人税等の増,,2284
未払費用及びその他の流動負債の増(－減),,-941
その他－純額,,362
営業活動による純キャッシュ増,,36761
投資活動によるキャッシュ・フロー：,,
固定資産の取得,,-15913
固定資産の売却,,2614
短期投資の(－増)減,,21848
有価証券及びその他の投資有価証券の取得,,-10346
有価証券及びその他の投資有価証券の売却及び償還,,10386
子会社の売却に伴う現金及び現金同等物の純減,,-
その他－純額,,156
投資活動による純キャッシュ増(－減),,8745
財務活動によるキャッシュ・フロー：,,
現金配当,,-3455
短期借入金の減,,-3711
借入債務による調達,,25931
借入債務の返済,,-55711
自己株式の取得,,-14
その他－純額,,9
財務活動による純キャッシュ減,,-36951
為替変動による現金及び現金同等物への影響額,,-664
純キャッシュ増,,7891
期首現金及び現金同等物残高,,43518
期末現金及び現金同等物残高,,51409
