企業名,日本ハム,,
証券ｺｰﾄﾞ,2282,,
表名称,連結キャッシュ・フロー計算書,,



（百万円）,,,
2012/04/01-2013/03/31,,,
連結キャッシュ・フロー計算書,,,
営業活動によるキャッシュ・フロー:,,,
当期純利益,,16710,
調整項目:,,,
減価償却費,,19781,
固定資産減損損失,,1519,
繰延税金,,-2916,
為替換算差額,,-1627,
受取手形及び売掛金の増,,-3178,
棚卸資産の(△増)減,,1722,
その他の流動資産の(△増)減,,-2068,
支払手形及び買掛金の増,,4473,
未払法人税等の増(△減),,1660,
未払費用及びその他の流動負債の増,,615,
その他－純額,,716,
営業活動による純キャッシュ増,,37407,
投資活動によるキャッシュ・フロー:,,,
固定資産の取得,,-29904,
固定資産の売却,,2538,
短期投資の(△増)減,,-27330,
有価証券及びその他の投資有価証券の取得,,-332,
有価証券及びその他の投資有価証券の売却及び償還,,277,
事業の取得に伴う現金及び現金同等物の純減,,-817,
その他－純額,,755,
投資活動による純キャッシュ増(△減),,-54813,
財務活動によるキャッシュ・フロー:,,,
現金配当,,-3886,
短期借入金の減,,-3355,
借入債務による調達,,44533,
借入債務の返済,,-32362,
自己株式の取得,,-16006,
その他－純額,,112,
財務活動による純キャッシュ減,,-10964,
為替変動による現金及び現金同等物への影響額,,1194,
純キャッシュ増(△減),,-27176,
期首現金及び現金同等物残高,,63651,
期末現金及び現金同等物残高,,36475,
