企業名,日本ハム,
証券ｺｰﾄﾞ,2282,
表名称,連結キャッシュ・フロー計算書,



(百万円),,
2009/04/01-2010/03/31,,

営業活動によるキャッシュ・フロー：,,
当期純利益,,15903
調整項目：,,
減価償却費,,25098
固定資産減損損失,,792
繰延税金,,-696
為替換算差額,,-4239
受取手形及び売掛金の減,,3048
棚卸資産の（－増）減,,16950
その他の流動資産の減,,838
支払手形及び買掛金の減,,-1786
未払法人税等の増,,4794
未払費用及びその他の流動負債の増,,4458
その他－純額,,2288
営業活動による純キャッシュ増,,67448
投資活動によるキャッシュ・フロー：,,
固定資産の取得,,-17464
固定資産の売却,,1623
定期預金の（－増）減,,-53628
有価証券及びその他の投資有価証券の取得,,-1423
有価証券及びその他の投資有価証券の売却及び償還,,10027
子会社の売却に伴う現金及び現金同等物の純減,,-412
その他－純額,,1143
投資活動による純キャッシュ減,,-60134
財務活動によるキャッシュ・フロー：,,
現金配当,,-3730
短期借入金の減,,-7672
長期債務の借入,,29968
長期債務の返済,,-7316
自己株式の取得,,-16480
その他－純額,,3
財務活動による純キャッシュ減,,-5227
為替変動による現金及び現金同等物への影響額,,108
純キャッシュ増（－減）,,2195
期首現金及び現金同等物残高,,41323
期末現金及び現金同等物残高,,43518
