企業名,日本ハム,,
証券ｺｰﾄﾞ,2282,,
表名称,連結キャッシュ・フロー計算書,,



（百万円）,,,
2016/04/01-2017/03/31,,,
連結キャッシュ・フロー計算書,,,
営業活動によるキャッシュ・フロー：,,,
当期純利益,,35055,
調整項目：,,,
減価償却費,,20287,
減損損失,,2285,
繰延税金,,-1257,
為替換算差額,,715,
受取手形及び売掛金の増,,-796,
棚卸資産の減,,1305,
その他の流動資産の(△増)減,,742,
支払手形及び買掛金の増(△減),,7705,
未払法人税等の増(△減),,1808,
未払費用及びその他の流動負債の増(△減),,-1039,
その他－純額,,-1556,
営業活動による純キャッシュ増,,65254,
投資活動によるキャッシュ・フロー：,,,
固定資産の取得,,-40183,
固定資産の売却,,1211,
定期預金の増,,-7735,
有価証券及びその他の投資有価証券の取得,,-624,
有価証券及びその他の投資有価証券の売却及び償還,,2481,
関連会社に対する投資,,-195,
事業の取得に伴う現金及び現金同等物の純減,,-,
事業の売却に伴う現金及び現金同等物の純増,,5372,
その他－純額,,1402,
投資活動による純キャッシュ減,,-38271,
財務活動によるキャッシュ・フロー：,,,
現金配当,,-6744,
短期借入金の増,,4063,
借入債務による調達,,6282,
借入債務の返済,,-15277,
非支配持分からの出資,,424,
自己株式の取得,,-9,
その他－純額,,-178,
財務活動による純キャッシュ増(△減),,-11439,
為替変動による現金及び現金同等物への影響額,,-226,
純キャッシュ増,,15318,
期首現金及び現金同等物残高,,67321,
期末現金及び現金同等物残高,,82639,
補足情報：,,,
年間キャッシュ支払額,,,
支払利息,,1136,
法人税等,,14305,
キャピタル・リース債務発生額,,3864,
新株予約権付社債の株式転換額,,15771,
