企業名,丸大食品,
証券ｺｰﾄﾞ,2288,
表名称,連結キャッシュ・フロー計算書,



(百万円),,
2007/04/01-2008/03/31,,

営業活動によるキャッシュ・フロー,,
税金等調整前当期純利益,,1664
減価償却費,,4449
貸倒引当金の増減額（減少は－）,,24
退職給付引当金の減少額,,-2091
受取利息及び受取配当金,,-281
支払利息,,288
固定資産処分益,,-290
固定資産処分損,,607
減損損失,,374
有価証券売却益,,-483
有価証券売却損,,3
有価証券評価損,,37
売上債権の増減額（増加は－）,,2733
たな卸資産の増加額,,-1783
仕入債務の増減額（減少は－）,,-543
未払消費税等の増減額（減少は－）,,-222
その他,,612
小計,,5101
利息及び配当金の受取額,,269
利息の支払額,,-295
法人税等の支払額,,-446
営業活動によるキャッシュ・フロー,,4628
投資活動によるキャッシュ・フロー,,
有価証券の取得による支出,,-732
有価証券の売却による収入,,730
固定資産の取得による支出,,-6370
固定資産の売却による収入,,967
その他,,-313
投資活動によるキャッシュ・フロー,,-5719
財務活動によるキャッシュ・フロー,,
短期借入金の純増減額（減少は－）,,51
長期借入れによる収入,,8715
長期借入金の返済による支出,,-6947
配当金の支払額,,-529
その他,,-9
財務活動によるキャッシュ・フロー,,1281
現金及び現金同等物に係る換算差額,,2
現金及び現金同等物の増減額（減少は－）,,192
現金及び現金同等物の期首残高,,2446
現金及び現金同等物の期末残高,,2639
